[1mNewton-Raphson method.[0m
Iterations       Absolute error 
  1         0.90704694958320075671 
  2         0.40893778863884339136 
  3         0.07428842219458968443 
  4         0.00213903651734997664 
  5         0.00000173526544946328 
  6         0.00000173526544946328 
[1mNewton-Raphson method.[0m
Iterations       Absolute error 
  1         0.89009313078163998512 
  2         0.87818103092950394739 
  3         0.86359664735664587454 
  4         0.84539973918035293821 
  5         0.82219128430522125939 
  6         0.79182899779996063216 
  7         0.75094025465374070194 
  8         0.69410595364944160934 
  9         0.61266890983081712108 
 10         0.49410014249942246778 
 11         0.32824653323856622933 
 12         0.14023645259946970754 
 13         0.02277272712515188147 
 14         0.00054122218321861482 
 15         0.00000032609469968747 
 16         0.00000032609469968747 
