X               Y               
0              2              
0.02           1.99804        
0.04           1.99216        
0.06           1.98236        
0.08           1.96864        
0.1            1.951          
0.12           1.92944        
0.14           1.90396        
0.16           1.87456        
0.18           1.84124        
0.2            1.804          
0.22           1.76284        
0.24           1.71776        
0.26           1.66876        
0.28           1.61584        
0.3            1.559          
0.32           1.49824        
0.34           1.43356        
0.36           1.36496        
0.38           1.29244        
0.4            1.216          
0.42           1.13564        
0.44           1.05136        
0.46           0.96316        
0.48           0.87104        
0.5            0.775          
0.52           0.67504        
0.54           0.57116        
0.56           0.46336        
0.58           0.35164        
0.6            0.236          
0.62           0.11644        
0.64           -0.00704       
0.66           -0.13444       
0.68           -0.26576       
0.7            -0.401         
0.72           -0.54016       
0.74           -0.68324       
0.76           -0.83024       
0.78           -0.98116       
0.8            -1.136         
0.82           -1.29476       
0.84           -1.45744       
0.86           -1.62404       
0.88           -1.79456       
0.9            -1.969         
0.92           -2.14736       
0.94           -2.32964       
0.96           -2.51584       
0.98           -2.70596       
1.0            -2.9           
1.02           -3.09796       
1.04           -3.29984       
1.06           -3.50564       
1.08           -3.71536       
1.1            -3.929         
1.12           -4.14656       
1.14           -4.36804       
1.16           -4.59344       
1.18           -4.82276       
1.2            -5.056         
1.22           -5.29316       
1.24           -5.53424       
1.26           -5.77924       
1.28           -6.02816       
1.3            -6.281         
1.32           -6.53776       
1.34           -6.79844       
1.36           -7.06304       
1.38           -7.33156       
1.4            -7.604         
1.42           -7.88036       
1.44           -8.16064       
1.46           -8.44484       
1.48           -8.73296       
1.5            -9.025         
1.52           -9.32096       
1.54           -9.62084       
1.56           -9.92464       
1.58           -10.23236      
1.6            -10.544        
1.62           -10.85956      
1.64           -11.17904      
1.66           -11.50244      
1.68           -11.82976      
1.7            -12.161        
1.72           -12.49616      
1.74           -12.83524      
1.76           -13.17824      
1.78           -13.52516      
1.8            -13.876        
1.82           -14.23076      
1.84           -14.58944      
1.86           -14.95204      
1.88           -15.31856      
1.9            -15.689        
1.92           -16.06336      
1.94           -16.44164      
1.96           -16.82384      
1.98           -17.20996      
2.0            -17.6          
2.02           -17.99396      
2.04           -18.39184      
2.06           -18.79364      
2.08           -19.19936      
2.1            -19.609        
2.12           -20.02256      
2.14           -20.44004      
2.16           -20.86144      
2.18           -21.28676      
2.2            -21.716        
2.22           -22.14916      
2.24           -22.58624      
2.26           -23.02724      
2.28           -23.47216      
2.3            -23.921        
2.32           -24.37376      
2.34           -24.83044      
2.36           -25.29104      
2.38           -25.75556      
2.4            -26.224        
2.42           -26.69636      
2.44           -27.17264      
2.46           -27.65284      
2.48           -28.13696      
2.5            -28.625        
2.52           -29.11696      
2.54           -29.61284      
2.56           -30.11264      
2.58           -30.61636      
2.6            -31.124        
2.62           -31.63556      
2.64           -32.15104      
2.66           -32.67044      
2.68           -33.19376      
2.7            -33.721        
2.72           -34.25216      
2.74           -34.78724      
2.76           -35.32624      
2.78           -35.86916      
2.8            -36.416        
2.82           -36.96676      
2.84           -37.52144      
2.86           -38.08004      
2.88           -38.64256      
2.9            -39.209        
2.92           -39.77936      
2.94           -40.35364      
2.96           -40.93184      
2.98           -41.51396      
3.0            -42.1          
3.02           -42.68996      
3.04           -43.28384      
3.06           -43.88164      
3.08           -44.48336      
3.1            -45.089        
3.12           -45.69856      
3.14           -46.31204      
3.16           -46.92944      
3.18           -47.55076      
3.2            -48.176        
3.22           -48.80516      
3.24           -49.43824      
3.26           -50.07524      
3.28           -50.71616      
3.3            -51.361        
3.32           -52.00976      
3.34           -52.66244      
3.36           -53.31904      
3.38           -53.97956      
3.4            -54.644        
3.42           -55.31236      
3.44           -55.98464      
3.46           -56.66084      
3.48           -57.34096      
3.5            -58.025        
3.52           -58.71296      
3.54           -59.40484      
3.56           -60.10064      
3.58           -60.80036      
3.6            -61.504        
3.62           -62.21156      
3.64           -62.92304      
3.66           -63.63844      
3.68           -64.35776      
3.7            -65.081        
3.72           -65.80816      
3.74           -66.53924      
3.76           -67.27424      
3.78           -68.01316      
3.8            -68.756        
3.82           -69.50276      
3.84           -70.25344      
3.86           -71.00804      
3.88           -71.76656      
3.9            -72.529        
3.92           -73.29536      
3.94           -74.06564      
3.96           -74.83984      
3.98           -75.61796      
4.0            -76.4          
4.02           -77.18596      
4.04           -77.97584      
4.06           -78.76964      
4.08           -79.56736      
4.1            -80.369        
4.12           -81.17456      
4.14           -81.98404      
4.16           -82.79744      
4.18           -83.61476      
4.2            -84.436        
4.22           -85.26116      
4.24           -86.09024      
4.26           -86.92324      
4.28           -87.76016      
4.3            -88.601        
4.32           -89.44576      
4.34           -90.29444      
4.36           -91.14704      
4.38           -92.00356      
